x,y,z,T,solid
0.063901478,0.077412711,0.0,307.09689,1.0
0.063901478,0.077836818,0.0,307.09696,1.0
0.064327072,0.074019858,0.0,307.09645,1.0
0.064327072,0.074443965,0.0,307.0965,1.0
0.064327072,0.074868071,0.0,307.09655,1.0
0.064327072,0.075292178,0.0,307.0966,1.0
0.064327072,0.075716284,0.0,307.09666,1.0
0.064327072,0.076140391,0.0,307.09672,1.0
0.064327072,0.076564498,0.0,307.09679,1.0
0.064327072,0.076988604,0.0,307.09685,1.0
0.064327072,0.077412711,0.0,307.09692,1.0
0.064327072,0.077836818,0.0,307.09698,1.0
0.064752666,0.074019858,0.0,307.09647,1.0
0.064752666,0.074443965,0.0,307.09652,1.0
0.064752666,0.074868071,0.0,307.09657,1.0
0.064752666,0.075292178,0.0,307.09663,1.0
0.064752666,0.075716284,0.0,307.09668,1.0
0.064752666,0.076140391,0.0,307.09675,1.0
0.064752666,0.076564498,0.0,307.09681,1.0
0.064752666,0.076988604,0.0,307.09687,1.0
0.064752666,0.077412711,0.0,307.09694,1.0
0.064752666,0.077836818,0.0,307.09701,1.0
0.065178259,0.074019858,0.0,307.0965,1.0
0.065178259,0.074443965,0.0,307.09654,1.0
0.065178259,0.074868071,0.0,307.0966,1.0
0.065178259,0.075292178,0.0,307.09665,1.0
0.065178259,0.075716284,0.0,307.09671,1.0
0.065178259,0.076140391,0.0,307.09677,1.0
0.065178259,0.076564498,0.0,307.09683,1.0
0.065178259,0.076988604,0.0,307.0969,1.0
0.065178259,0.077412711,0.0,307.09697,1.0
0.065178259,0.077836818,0.0,307.09703,1.0
0.065603853,0.074019858,0.0,307.09652,1.0
0.065603853,0.074443965,0.0,307.09657,1.0
0.065603853,0.074868071,0.0,307.09662,1.0
0.065603853,0.075292178,0.0,307.09668,1.0
0.065603853,0.075716284,0.0,307.09674,1.0
0.065603853,0.076140391,0.0,307.0968,1.0
0.065603853,0.076564498,0.0,307.09686,1.0
0.065603853,0.076988604,0.0,307.09692,1.0
0.065603853,0.077412711,0.0,307.09699,1.0
0.065603853,0.077836818,0.0,307.09706,1.0
0.066029447,0.074019858,0.0,307.09655,1.0
0.066029447,0.074443965,0.0,307.0966,1.0
